judge_family,domain,coef,estimate,se,t,p,ci_low,ci_high,n
closed_source_mid,cds4worldcup,beta_leaked_gt,2.742,1.5139,1.811,0.0701,-0.2252,5.7092,8
closed_source_mid,cds4worldcup,beta_score_tagged_ref,2.132,1.5139,1.408,0.159,-0.8352,5.0992,8
closed_source_mid,cds4worldcup,beta_confidence_cue,1.942,1.5139,1.283,0.1996,-1.0252,4.9092,8
closed_source_mid,cds4worldcup,sample_wc2022-a-f01-qat-ecu,1.316,1.2361,1.065,0.287,-1.1067,3.7387,8
closed_source_mid,gulei,beta_leaked_gt,0.4591,0.21,2.186,0.0288,0.0475,0.8707,120
closed_source_mid,gulei,beta_score_tagged_ref,0.3385,0.21,1.612,0.107,-0.0731,0.7501,120
closed_source_mid,gulei,beta_confidence_cue,0.5085,0.21,2.421,0.0155,0.0969,0.9201,120
closed_source_mid,gulei,sample_P12-001,3.7485,0.4382,8.553,0.0,2.8895,4.6075,120
closed_source_mid,gulei,sample_P12-002,3.6485,0.4382,8.325,0.0,2.7895,4.5075,120
closed_source_mid,gulei,sample_P12-003,3.4835,0.4382,7.949,0.0,2.6245,4.3425,120
closed_source_mid,gulei,sample_P12-004,3.7935,0.4382,8.656,0.0,2.9345,4.6525,120
closed_source_mid,gulei,sample_P12-005,3.6535,0.4382,8.337,0.0,2.7945,4.5125,120
closed_source_mid,gulei,sample_P12-006,3.6735,0.4382,8.382,0.0,2.8145,4.5325,120
closed_source_mid,gulei,sample_P12-007,3.7485,0.4382,8.553,0.0,2.8895,4.6075,120
closed_source_mid,gulei,sample_P12-008,3.4135,0.4382,7.789,0.0,2.5545,4.2725,120
closed_source_mid,gulei,sample_P12-009,3.5085,0.4382,8.006,0.0,2.6495,4.3675,120
closed_source_mid,gulei,sample_P12-010,3.7985,0.4382,8.667,0.0,2.9395,4.6575,120
closed_source_mid,gulei,sample_P12-011,3.4035,0.4382,7.766,0.0,2.5445,4.2625,120
closed_source_mid,gulei,sample_P12-012,3.6135,0.4382,8.245,0.0,2.7545,4.4725,120
closed_source_mid,gulei,sample_P12-013,3.3235,0.4382,7.584,0.0,2.4645,4.1825,120
closed_source_mid,gulei,sample_P12-014,3.7135,0.4382,8.473,0.0,2.8545,4.5725,120
closed_source_mid,gulei,sample_P12-015,3.8685,0.4382,8.827,0.0,3.0095,4.7275,120
closed_source_mid,gulei,sample_P12-016,3.7735,0.4382,8.61,0.0,2.9145,4.6325,120
closed_source_mid,gulei,sample_P12-017,3.7735,0.4382,8.61,0.0,2.9145,4.6325,120
closed_source_mid,gulei,sample_P12-018,3.7735,0.4382,8.61,0.0,2.9145,4.6325,120
closed_source_mid,gulei,sample_P12-019,3.7235,0.4382,8.496,0.0,2.8645,4.5825,120
closed_source_mid,gulei,sample_P12-020,3.7735,0.4382,8.61,0.0,2.9145,4.6325,120
closed_source_mid,gulei,sample_P12-021,3.6535,0.4382,8.337,0.0,2.7945,4.5125,120
closed_source_mid,gulei,sample_P12-022,3.8535,0.4382,8.793,0.0,2.9945,4.7125,120
closed_source_mid,gulei,sample_P12-023,3.7285,0.4382,8.508,0.0,2.8695,4.5875,120
closed_source_mid,gulei,sample_P12-024,3.6685,0.4382,8.371,0.0,2.8095,4.5275,120
closed_source_mid,gulei,sample_P12-025,3.4885,0.4382,7.96,0.0,2.6295,4.3475,120
closed_source_mid,gulei,sample_P12-026,3.6785,0.4382,8.394,0.0,2.8195,4.5375,120
closed_source_mid,gulei,sample_P12-027,3.1535,0.4382,7.196,0.0,2.2945,4.0125,120
closed_source_mid,gulei,sample_P12-028,3.8885,0.4382,8.873,0.0,3.0295,4.7475,120
closed_source_mid,gulei,sample_P12-029,3.8035,0.4382,8.679,0.0,2.9445,4.6625,120
open_source_mid,cds4worldcup,beta_leaked_gt,2.3333,1.2214,1.91,0.0561,-0.0606,4.7273,7
open_source_mid,cds4worldcup,beta_score_tagged_ref,1.1833,1.2214,0.969,0.3326,-1.2106,3.5773,7
open_source_mid,cds4worldcup,beta_confidence_cue,2.4833,1.2214,2.033,0.042,0.0894,4.8773,7
open_source_mid,cds4worldcup,sample_wc2022-a-f01-qat-ecu,0.9333,1.2214,0.764,0.4448,-1.4606,3.3273,7
open_source_mid,gulei,beta_leaked_gt,0.5599,0.2406,2.327,0.02,0.0883,1.0315,112
open_source_mid,gulei,beta_score_tagged_ref,0.1818,0.2376,0.765,0.4443,-0.284,0.6475,112
open_source_mid,gulei,beta_confidence_cue,0.3896,0.2406,1.619,0.1053,-0.0819,0.8612,112
open_source_mid,gulei,sample_P12-001,3.7429,0.5522,6.778,0.0,2.6605,4.8252,112
open_source_mid,gulei,sample_P12-002,3.8501,0.5524,6.97,0.0,2.7675,4.9328,112
open_source_mid,gulei,sample_P12-003,3.9422,0.4849,8.13,0.0,2.9918,4.8926,112
open_source_mid,gulei,sample_P12-004,3.7922,0.4849,7.82,0.0,2.8418,4.7426,112
open_source_mid,gulei,sample_P12-005,3.7528,0.5522,6.796,0.0,2.6704,4.8352,112
open_source_mid,gulei,sample_P12-006,3.8172,0.4849,7.872,0.0,2.8668,4.7676,112
open_source_mid,gulei,sample_P12-007,3.9072,0.4849,8.058,0.0,2.9568,4.8576,112
open_source_mid,gulei,sample_P12-008,3.5172,0.4849,7.253,0.0,2.5668,4.4676,112
open_source_mid,gulei,sample_P12-009,3.2422,0.4849,6.686,0.0,2.2918,4.1926,112
open_source_mid,gulei,sample_P12-010,4.0922,0.4849,8.439,0.0,3.1418,5.0426,112
open_source_mid,gulei,sample_P12-011,3.6422,0.4849,7.511,0.0,2.6918,4.5926,112
open_source_mid,gulei,sample_P12-012,3.9422,0.4849,8.13,0.0,2.9918,4.8926,112
open_source_mid,gulei,sample_P12-013,3.4095,0.5522,6.174,0.0,2.3272,4.4919,112
open_source_mid,gulei,sample_P12-014,3.9422,0.4849,8.13,0.0,2.9918,4.8926,112
open_source_mid,gulei,sample_P12-015,3.7762,0.5522,6.838,0.0,2.6938,4.8586,112
open_source_mid,gulei,sample_P12-016,3.9072,0.4849,8.058,0.0,2.9568,4.8576,112
open_source_mid,gulei,sample_P12-017,4.1422,0.4849,8.542,0.0,3.1918,5.0926,112
open_source_mid,gulei,sample_P12-018,3.9622,0.4849,8.171,0.0,3.0118,4.9126,112
open_source_mid,gulei,sample_P12-019,4.0672,0.4849,8.388,0.0,3.1168,5.0176,112
open_source_mid,gulei,sample_P12-020,4.0672,0.4849,8.388,0.0,3.1168,5.0176,112
open_source_mid,gulei,sample_P12-021,3.6172,0.4849,7.46,0.0,2.6668,4.5676,112
open_source_mid,gulei,sample_P12-022,4.0222,0.4849,8.295,0.0,3.0718,4.9726,112
open_source_mid,gulei,sample_P12-023,3.8528,0.5522,6.977,0.0,2.7704,4.9352,112
open_source_mid,gulei,sample_P12-024,3.9501,0.5524,7.151,0.0,2.8675,5.0328,112
open_source_mid,gulei,sample_P12-025,3.7572,0.4849,7.748,0.0,2.8068,4.7076,112
open_source_mid,gulei,sample_P12-026,4.0172,0.4849,8.284,0.0,3.0668,4.9676,112
open_source_mid,gulei,sample_P12-027,3.4861,0.5522,6.313,0.0,2.4037,4.5685,112
open_source_mid,gulei,sample_P12-028,3.8422,0.4849,7.924,0.0,2.8918,4.7926,112
open_source_mid,gulei,sample_P12-029,3.9922,0.4849,8.233,0.0,3.0418,4.9426,112
openrouter_mid,cds4worldcup,beta_leaked_gt,-0.75,1500.0021,-0.0,0.9996,-2940.754,2939.254,4
openrouter_mid,cds4worldcup,beta_score_tagged_ref,1.25,1500.0021,0.001,0.9993,-2938.754,2941.254,4
openrouter_mid,cds4worldcup,beta_confidence_cue,1.25,1500.0021,0.001,0.9993,-2938.754,2941.254,4
openrouter_mid,cds4worldcup,sample_wc2022-a-f01-qat-ecu,1.75,1500.0006,0.001,0.9991,-2938.2511,2941.7511,4
openrouter_mid,gulei,beta_leaked_gt,0.005,0.5193,0.01,0.9923,-1.0128,1.0229,44
openrouter_mid,gulei,beta_score_tagged_ref,0.1232,0.5857,0.21,0.8334,-1.0248,1.2712,44
openrouter_mid,gulei,beta_confidence_cue,1.5166,0.6404,2.368,0.0179,0.2613,2.7719,44
openrouter_mid,gulei,sample_P12-002,3.6851,0.7412,4.972,0.0,2.2323,5.1378,44
openrouter_mid,gulei,sample_P12-003,3.0768,1.1847,2.597,0.0094,0.7547,5.3989,44
openrouter_mid,gulei,sample_P12-004,2.7417,0.7955,3.447,0.0006,1.1825,4.3009,44
openrouter_mid,gulei,sample_P12-005,4.1759,0.8649,4.828,0.0,2.4807,5.8711,44
openrouter_mid,gulei,sample_P12-006,3.6859,0.8649,4.262,0.0,1.9907,5.3811,44
openrouter_mid,gulei,sample_P12-007,3.6706,0.671,5.47,0.0,2.3553,4.9858,44
openrouter_mid,gulei,sample_P12-008,3.1675,0.7731,4.097,0.0,1.6522,4.6828,44
openrouter_mid,gulei,sample_P12-009,1.495,1.1534,1.296,0.1949,-0.7656,3.7556,44
openrouter_mid,gulei,sample_P12-010,3.195,1.1534,2.77,0.0056,0.9344,5.4556,44
openrouter_mid,gulei,sample_P12-011,2.7034,1.2127,2.229,0.0258,0.3264,5.0803,44
openrouter_mid,gulei,sample_P12-012,3.9768,1.1847,3.357,0.0008,1.6547,6.2989,44
openrouter_mid,gulei,sample_P12-013,4.12,1.0298,4.001,0.0001,2.1015,6.1385,44
openrouter_mid,gulei,sample_P12-014,2.6101,0.8931,2.923,0.0035,0.8596,4.3605,44
openrouter_mid,gulei,sample_P12-015,2.2234,1.2127,1.833,0.0667,-0.1536,4.6003,44
openrouter_mid,gulei,sample_P12-016,4.0184,0.7849,5.12,0.0,2.48,5.5568,44
openrouter_mid,gulei,sample_P12-017,3.9168,1.1847,3.306,0.0009,1.5947,6.2389,44
openrouter_mid,gulei,sample_P12-019,4.3775,0.7731,5.662,0.0,2.8622,5.8928,44
openrouter_mid,gulei,sample_P12-020,3.0201,0.8931,3.382,0.0007,1.2696,4.7705,44
openrouter_mid,gulei,sample_P12-021,4.1,1.0298,3.981,0.0001,2.0815,6.1185,44
openrouter_mid,gulei,sample_P12-022,3.7484,0.7849,4.776,0.0,2.21,5.2868,44
openrouter_mid,gulei,sample_P12-023,3.4768,1.1847,2.935,0.0033,1.1547,5.7989,44
openrouter_mid,gulei,sample_P12-024,3.9475,0.7731,5.106,0.0,2.4322,5.4628,44
