题目,选项
1. 里面有没有可以查证的事实？,有，明确可查
1. 里面有没有可以查证的事实？,有一点，但需要转成指标
1. 里面有没有可以查证的事实？,没有，主要是观点或感觉
1. 里面有没有可以查证的事实？,不确定
2. 主要理由能不能被事实检查？,能，比较明确
2. 主要理由能不能被事实检查？,勉强能，需要补充规则
2. 主要理由能不能被事实检查？,很难，只能当叙事
2. 主要理由能不能被事实检查？,不能
2. 主要理由能不能被事实检查？,不确定
3. 它主要属于哪类理由？,球员、阵容、年龄、身价
3. 它主要属于哪类理由？,排名、历史战绩、近期成绩
3. 它主要属于哪类理由？,伤病、赛程、体能、旅行
3. 它主要属于哪类理由？,赔率或市场观点
3. 它主要属于哪类理由？,战术、教练、打法
3. 它主要属于哪类理由？,心理、团队氛围、抗压
3. 它主要属于哪类理由？,模型自己说的概率
3. 它主要属于哪类理由？,传闻或朋友说
3. 它主要属于哪类理由？,玄学、周期、命理
3. 它主要属于哪类理由？,空泛判断
3. 它主要属于哪类理由？,其他或不确定
4. 如果要检查，大概要查什么？,官方数据、排名、赛程
4. 如果要检查，大概要查什么？,比赛技术统计
4. 如果要检查，大概要查什么？,新闻或媒体报道
4. 如果要检查，大概要查什么？,赔率或市场页面
4. 如果要检查，大概要查什么？,模型原文即可
4. 如果要检查，大概要查什么？,找不到合适来源
4. 如果要检查，大概要查什么？,不确定
5. 这条理由最适合放哪里？,可以进因子账本
5. 这条理由最适合放哪里？,先当候选，之后再清洗
5. 这条理由最适合放哪里？,只适合做边注
5. 这条理由最适合放哪里？,没什么价值，可以丢弃
5. 这条理由最适合放哪里？,不确定
6. 你对自己的判断有多确定？,高
6. 你对自己的判断有多确定？,中
6. 你对自己的判断有多确定？,低
